Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
GO:0004812	aminoacyl-tRNA ligase activity	 19	0.000236901319011861	0.0460253885842658	15	4	1606	2746	2.12880288321049
GO:0004842	ubiquitin-protein transferase activity	 80	0.98566443658717	1	21	59	1600	2691	0.707826958667489
GO:0004843	thiol-dependent ubiquitin-specific protease activity	 25	0.980551739564816	1	5	20	1616	2730	0.539296730413325
GO:0004857	enzyme inhibitor activity	 12	0.47763441574499	1	5	7	1616	2743	1.12353485502776
GO:0004860	protein kinase inhibitor activity	 10	0.781377725261973	1	3	7	1618	2743	0.808945095619988
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	  7	0.235439100009758	0.874292856505159	4	3	1617	2747	1.54084780118093
GO:0004864	protein phosphatase inhibitor activity	  5	0.901559628365078	1	1	4	1620	2746	0.539296730413325
GO:0004865	protein serine/threonine phosphatase inhibitor activity	  5	1	1	0	5	1621	2745	0
GO:0004866	endopeptidase inhibitor activity	  9	0.709677010709356	1	3	6	1618	2744	0.898827884022208
GO:0004867	serine-type endopeptidase inhibitor activity	 18	0.857088356526676	1	5	13	1616	2737	0.749023236685174
GO:0004869	cysteine-type endopeptidase inhibitor activity	 11	0.387196429366767	0.98536875238176	5	6	1616	2744	1.22567438730301
GO:0004879	nuclear receptor activity	 10	0.990342195753722	1	1	9	1620	2741	0.269648365206663
GO:0004888	transmembrane signaling receptor activity	 36	0.911372712136476	1	10	26	1611	2724	0.749023236685174
GO:0004890	GABA-A receptor activity	  5	0.901559628365078	1	1	4	1620	2746	0.539296730413325
GO:0004896	cytokine receptor activity	 15	0.503921793911772	1	6	9	1615	2741	1.07859346082665
GO:0004930	G protein-coupled receptor activity	 73	0.999999986328733	1	7	66	1614	2684	0.258566925540635
GO:0004935	adrenergic receptor activity	  6	1	1	0	6	1621	2744	0
GO:0004950	chemokine receptor activity	  5	1	1	0	5	1621	2745	0
GO:0004984	olfactory receptor activity	 11	1	1	0	11	1621	2739	0
GO:0005044	scavenger receptor activity	 15	0.708911907066413	1	5	10	1616	2740	0.898827884022209
GO:0005049	nuclear export signal receptor activity	  5	0.901559628365078	1	1	4	1620	2746	0.539296730413325
GO:0005070	SH3/SH2 adaptor activity	  7	0.800202785632254	1	2	5	1619	2745	0.770423900590465
GO:0005080	protein kinase C binding	 28	0.111767575554384	0.710114109470648	14	14	1607	2736	1.34824182603331
GO:0005085	guanyl-nucleotide exchange factor activity	 37	0.524309550762533	1	14	23	1607	2727	1.02029111159278
GO:0005086	ARF guanyl-nucleotide exchange factor activity	  5	0.901559628365078	1	1	4	1620	2746	0.539296730413325
GO:0005089	Rho guanyl-nucleotide exchange factor activity	 16	0.0934465963216342	0.641128805938118	9	7	1612	2743	1.51677205428748
GO:0005092	GDP-dissociation inhibitor activity	  6	0.395387391728158	0.98536875238176	3	3	1618	2747	1.34824182603331
GO:0005096	GTPase activator activity	 50	0.500014900969612	1	19	31	1602	2719	1.02466378778532
GO:0005102	signaling receptor binding	 90	0.129735507704099	0.710114109470648	39	51	1582	2699	1.16847624922887
GO:0005104	fibroblast growth factor receptor binding	  8	0.859928168361515	1	2	6	1619	2744	0.674120913016656
GO:0005109	frizzled binding	 13	0.979177197325238	1	2	11	1619	2739	0.414843638779481
GO:0005112	Notch binding	 10	0.0359216204721896	0.448933792822859	7	3	1614	2747	1.88753855644664
GO:0005123	death receptor binding	  7	0.235439100009758	0.874292856505159	4	3	1617	2747	1.54084780118093
GO:0005125	cytokine activity	 37	0.865437785737879	1	11	26	1610	2724	0.801657301965754
GO:0005154	epidermal growth factor receptor binding	  7	0.235439100009758	0.874292856505159	4	3	1617	2747	1.54084780118093
GO:0005158	insulin receptor binding	 10	0.542375343419917	1	4	6	1617	2744	1.07859346082665
GO:0005159	insulin-like growth factor receptor binding	  6	0.938108378346802	1	1	5	1620	2745	0.449413942011104
GO:0005161	platelet-derived growth factor receptor binding	  8	0.339218565637772	0.969924578864316	4	4	1617	2746	1.34824182603331
GO:0005164	tumor necrosis factor receptor binding	  6	0.395387391728158	0.98536875238176	3	3	1618	2747	1.34824182603331
GO:0005172	vascular endothelial growth factor receptor binding	  5	0.0664052440141702	0.528541035757744	4	1	1617	2749	2.1571869216533
GO:0005178	integrin binding	 53	0.512856305014413	1	20	33	1601	2717	1.01754100077986
GO:0005179	hormone activity	 19	0.959788874898685	1	4	15	1617	2735	0.567680768856132
GO:0005198	structural molecule activity	 25	0.619044201980031	1	9	16	1612	2734	0.970734114743985
GO:0005200	structural constituent of cytoskeleton	 16	0.00228891905624372	0.140144134524929	12	4	1609	2746	2.02236273904997
