Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
R-MMU-168138	Toll Like Receptor 9 (TLR9) Cascade	 7	1	1	0	7	112	432	0
R-MMU-168142	Toll Like Receptor 10 (TLR10) Cascade	 7	1	1	0	7	112	432	0
R-MMU-168164	Toll Like Receptor 3 (TLR3) Cascade	 6	1	1	0	6	112	433	0
R-MMU-168176	Toll Like Receptor 5 (TLR5) Cascade	 7	1	1	0	7	112	432	0
R-MMU-168179	Toll Like Receptor TLR1:TLR2 Cascade	 7	1	1	0	7	112	432	0
R-MMU-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	 7	1	1	0	7	112	432	0
R-MMU-168188	Toll Like Receptor TLR6:TLR2 Cascade	 7	1	1	0	7	112	432	0
R-MMU-168249	Innate Immune System	33	0.349376572681614	1	8	25	104	414	1.19264069264069
R-MMU-168256	Immune System	89	0.670647089852687	1	17	72	95	367	0.939707062600321
R-MMU-168898	Toll-like Receptor Cascades	 8	0.839743879776946	1	1	7	111	432	0.614955357142857
R-MMU-174143	APC/C-mediated degradation of cell cycle proteins	 7	0.152447241088298	1	3	4	109	435	2.10841836734694
R-MMU-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-176408	Regulation of APC/C activators between G1/S and early anaphase	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	 6	0.3527027222183	1	2	4	110	435	1.63988095238095
R-MMU-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	 6	0.3527027222183	1	2	4	110	435	1.63988095238095
R-MMU-177929	Signaling by EGFR	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-1793185	Chondroitin sulfate/dermatan sulfate metabolism	 7	0.432804914670301	1	2	5	110	434	1.40561224489796
R-MMU-179409	APC-Cdc20 mediated degradation of Nek2A	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	 6	0.3527027222183	1	2	4	110	435	1.63988095238095
R-MMU-181438	Toll Like Receptor 2 (TLR2) Cascade	 7	1	1	0	7	112	432	0
R-MMU-1852241	Organelle biogenesis and maintenance	22	0.859322605289948	1	3	19	109	420	0.67086038961039
R-MMU-187037	Signaling by NTRK1 (TRKA)	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-190236	Signaling by FGFR	 6	0.3527027222183	1	2	4	110	435	1.63988095238095
R-MMU-193648	NRAGE signals death through JNK	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-193704	p75 NTR receptor-mediated signalling	 6	0.3527027222183	1	2	4	110	435	1.63988095238095
R-MMU-194138	Signaling by VEGF	 6	0.74599727074389	1	1	5	111	434	0.819940476190476
R-MMU-194315	Signaling by Rho GTPases	31	0.0120337608055948	0.384949150551431	12	19	100	420	1.90437788018433
R-MMU-194840	Rho GTPase cycle	14	0.134192808059676	1	5	9	107	430	1.75701530612245
R-MMU-195258	RHO GTPase Effectors	18	0.0523722910842249	0.8040687042931	7	11	105	428	1.91319444444444
R-MMU-195721	Signaling by WNT	17	0.980305724899635	1	1	16	111	423	0.289390756302521
R-MMU-196849	Metabolism of water-soluble vitamins and cofactors	10	0.331604571389655	1	3	7	109	432	1.47589285714286
R-MMU-196854	Metabolism of vitamins and cofactors	15	0.169940079657757	1	5	10	107	429	1.63988095238095
R-MMU-199418	Negative regulation of the PI3K/AKT network	13	0.511810129292656	1	3	10	109	429	1.1353021978022
R-MMU-199977	ER to Golgi Anterograde Transport	 6	0.74599727074389	1	1	5	111	434	0.819940476190476
R-MMU-199991	Membrane Trafficking	35	0.874894622083418	1	5	30	107	409	0.70280612244898
R-MMU-201681	TCF dependent signaling in response to WNT	11	0.919975814775639	1	1	10	111	429	0.44724025974026
R-MMU-2022090	Assembly of collagen fibrils and other multimeric structures	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-202403	TCR signaling	 8	0.839743879776946	1	1	7	111	432	0.614955357142857
R-MMU-202424	Downstream TCR signaling	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-202733	Cell surface interactions at the vascular wall	 6	0.3527027222183	1	2	4	110	435	1.63988095238095
R-MMU-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-204998	Cell death signalling via NRAGE, NRIF and NADE	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-211859	Biological oxidations	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-212436	Generic Transcription Pathway	56	0.472556830279433	1	12	44	100	395	1.05420918367347
R-MMU-2132295	MHC class II antigen presentation	 9	0.575306524860084	1	2	7	110	432	1.09325396825397
R-MMU-2262752	Cellular responses to stress	21	0.992341861070205	1	1	20	111	419	0.234268707482993
R-MMU-2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-2428924	IGF1R signaling cascade	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-2428928	IRS-related events triggered by IGF1R	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-2454202	Fc epsilon receptor (FCERI) signaling	 6	0.74599727074389	1	1	5	111	434	0.819940476190476
R-MMU-2467813	Separation of Sister Chromatids	16	0.0270176859363258	0.503686859241503	7	9	105	430	2.15234375
R-MMU-2500257	Resolution of Sister Chromatid Cohesion	12	0.0197377005579826	0.429294987136121	6	6	106	433	2.45982142857143
R-MMU-2555396	Mitotic Metaphase and Anaphase	20	0.00978155614324866	0.384949150551431	9	11	103	428	2.21383928571429
R-MMU-2559583	Cellular Senescence	 6	1	1	0	6	112	433	0
R-MMU-2565942	Regulation of PLK1 Activity at G2/M Transition	 9	0.575306524860084	1	2	7	110	432	1.09325396825397
R-MMU-2672351	Stimuli-sensing channels	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-2980766	Nuclear Envelope Breakdown	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-2990846	SUMOylation	13	0.261152363933812	1	4	9	108	430	1.51373626373626
R-MMU-3108214	SUMOylation of DNA damage response and repair proteins	 7	0.152447241088298	1	3	4	109	435	2.10841836734694
R-MMU-3108232	SUMO E3 ligases SUMOylate target proteins	13	0.261152363933812	1	4	9	108	430	1.51373626373626
R-MMU-3214841	PKMTs methylate histone lysines	 5	1	1	0	5	112	434	0
R-MMU-3247509	Chromatin modifying enzymes	11	0.919975814775639	1	1	10	111	429	0.44724025974026
R-MMU-3371556	Cellular response to heat stress	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-3700989	Transcriptional Regulation by TP53	18	0.29408811184518	1	5	13	107	426	1.36656746031746
R-MMU-372790	Signaling by GPCR	35	0.26600243502179	1	9	26	103	413	1.26505102040816
R-MMU-373076	Class A/1 (Rhodopsin-like receptors)	 7	0.798195996756155	1	1	6	111	433	0.70280612244898
R-MMU-373755	Semaphorin interactions	 7	0.152447241088298	1	3	4	109	435	2.10841836734694
R-MMU-380259	Loss of Nlp from mitotic centrosomes	 8	0.507360815610613	1	2	6	110	433	1.22991071428571
R-MMU-380270	Recruitment of mitotic centrosome proteins and complexes	10	0.636232013227692	1	2	8	110	431	0.983928571428571
R-MMU-380284	Loss of proteins required for interphase microtubule organization from the centrosome	 8	0.507360815610613	1	2	6	110	433	1.22991071428571
R-MMU-380287	Centrosome maturation	10	0.636232013227692	1	2	8	110	431	0.983928571428571
R-MMU-380320	Recruitment of NuMA to mitotic centrosomes	10	0.636232013227692	1	2	8	110	431	0.983928571428571
R-MMU-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	 7	0.152447241088298	1	3	4	109	435	2.10841836734694
R-MMU-382551	Transport of small molecules	34	0.384187337204229	1	8	26	104	413	1.15756302521008
R-MMU-383280	Nuclear Receptor transcription pathway	 5	1	1	0	5	112	434	0
R-MMU-3858494	Beta-catenin independent WNT signaling	 7	1	1	0	7	112	432	0
R-MMU-388396	GPCR downstream signalling	35	0.26600243502179	1	9	26	103	413	1.26505102040816
R-MMU-388841	Costimulation by the CD28 family	 7	0.432804914670301	1	2	5	110	434	1.40561224489796
R-MMU-389356	CD28 co-stimulation	 5	0.26907112281918	1	2	3	110	436	1.96785714285714
R-MMU-397014	Muscle contraction	10	0.0336367563594001	0.585279560653562	5	5	107	434	2.45982142857143
R-MMU-4086400	PCP/CE pathway	 5	1	1	0	5	112	434	0
R-MMU-416476	G alpha (q) signalling events	13	0.102305291700591	1	5	8	107	431	1.89217032967033
R-MMU-416482	G alpha (12/13) signalling events	 6	0.3527027222183	1	2	4	110	435	1.63988095238095
R-MMU-418555	G alpha (s) signalling events	 8	0.839743879776946	1	1	7	111	432	0.614955357142857
R-MMU-418594	G alpha (i) signalling events	14	0.960213319767921	1	1	13	111	426	0.35140306122449
R-MMU-422356	Regulation of insulin secretion	 5	0.680448179322958	1	1	4	111	435	0.983928571428571
R-MMU-422475	Axon guidance	19	0.069287760280641	0.904205271662365	7	12	105	427	1.8125
