Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
IPR018108	Mitochondrial substrate/solute carrier	 5	0.284181008421066	1	2	3	251	946	1.900395256917
IPR018200	Ubiquitin specific protease, conserved site	10	0.906834136732334	1	1	9	252	940	0.475098814229249
IPR018247	EF-Hand 1, calcium-binding site	 9	0.595642205713194	1	2	7	251	942	1.05577514273166
IPR018359	Bromodomain, conserved site	 5	1	1	0	5	253	944	0
IPR018490	Cyclic nucleotide-binding-like	 5	1	1	0	5	253	944	0
IPR018979	FERM, N-terminal	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR018980	FERM, C-terminal PH-like domain	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR019734	Tetratricopeptide repeat	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR019747	FERM conserved site	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR019748	FERM central domain	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR019749	Band 4.1 domain	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR019775	WD40 repeat, conserved site	17	0.902081622956498	1	2	15	251	934	0.558939781446175
IPR019786	Zinc finger, PHD-type, conserved site	 9	0.595642205713194	1	2	7	251	942	1.05577514273166
IPR019787	Zinc finger, PHD-finger	11	0.926608434892334	1	1	10	252	939	0.431908012935681
IPR019821	Kinesin motor domain, conserved site	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR020472	G-protein beta WD-40 repeat	 8	0.849967928409433	1	1	7	252	942	0.593873517786561
IPR020635	Tyrosine-protein kinase, catalytic domain	 7	0.809672690498166	1	1	6	252	943	0.67871259175607
IPR020683	Ankyrin repeat-containing domain	24	0.777792859033465	1	4	20	249	929	0.791831357048748
IPR023214	HAD superfamily	 6	0.370440691616813	1	2	4	251	945	1.5836627140975
IPR023395	Mitochondrial carrier domain superfamily	 5	0.284181008421066	1	2	3	251	946	1.900395256917
IPR024607	Sulfatase, conserved site	 5	0.0658874761054034	0.753588007955551	3	2	250	947	2.85059288537549
IPR027267	AH/BAR domain superfamily	11	0.926608434892334	1	1	10	252	939	0.431908012935681
IPR027417	P-loop containing nucleoside triphosphate hydrolase	54	0.22875947617355	1	14	40	239	909	1.23173766652028
IPR027640	Kinesin-like protein	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR028889	Ubiquitin specific protease domain	10	0.906834136732334	1	1	9	252	940	0.475098814229249
IPR029021	Protein-tyrosine phosphatase-like	 9	0.289479393040653	1	3	6	250	943	1.5836627140975
IPR029044	Nucleotide-diphospho-sugar transferases	 9	0.289479393040653	1	3	6	250	943	1.5836627140975
IPR029058	Alpha/Beta hydrolase fold	 9	0.595642205713194	1	2	7	251	942	1.05577514273166
IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	 5	1	1	0	5	253	944	0
IPR029071	Ubiquitin-like domain superfamily	18	0.765191501668582	1	3	15	250	934	0.791831357048748
IPR032675	Leucine-rich repeat domain superfamily	20	0.634768070171601	1	4	16	249	933	0.950197628458498
IPR035500	Nuclear hormone receptor-like domain superfamily	 5	1	1	0	5	253	944	0
IPR035892	C2 domain superfamily	14	0.828591604225459	1	2	12	251	937	0.67871259175607
IPR035899	Dbl homology (DH) domain superfamily	 7	0.165970623172046	1	3	4	250	945	2.03613777526821
IPR035914	Spermadhesin, CUB domain superfamily	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR035963	FERM superfamily, second domain	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR035969	Rab-GTPase-TBC domain superfamily	 6	0.370440691616813	1	2	4	251	945	1.5836627140975
IPR035979	RNA-binding domain superfamily	22	0.963325305850773	1	2	20	251	929	0.431908012935681
IPR035983	HECT, E3 ligase catalytic domain	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR036028	SH3-like domain superfamily	20	0.106317641165622	1	7	13	246	936	1.66284584980237
IPR036034	PDZ superfamily	17	0.902081622956498	1	2	15	251	934	0.558939781446175
IPR036047	F-box-like domain superfamily	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR036051	KRAB domain superfamily	16	0.977812152240429	1	1	15	252	934	0.296936758893281
IPR036116	Fibronectin type III superfamily	14	0.0537453449450274	0.753588007955551	6	8	247	941	2.03613777526821
IPR036179	Immunoglobulin-like domain superfamily	28	0.0201939274330373	0.561313391943233	11	17	242	932	1.86645962732919
IPR036236	Zinc finger C2H2 superfamily	53	0.980648541121219	1	6	47	247	902	0.537847714221791
IPR036249	Thioredoxin-like superfamily	 7	1	1	0	7	253	942	0
IPR036259	MFS transporter superfamily	 7	1	1	0	7	253	942	0
IPR036291	NAD(P)-binding domain superfamily	 6	0.370440691616813	1	2	4	251	945	1.5836627140975
IPR036322	WD40-repeat-containing domain superfamily	32	0.978035531996869	1	3	29	250	920	0.445405138339921
IPR036352	Sema domain superfamily	 7	0.45222871899472	1	2	5	251	944	1.35742518351214
IPR036388	Winged helix-like DNA-binding domain superfamily	19	0.192831330415929	1	6	13	247	936	1.50031204493447
IPR036390	Winged helix DNA-binding domain superfamily	15	0.641655144013103	1	3	12	250	937	0.950197628458498
IPR036412	HAD-like superfamily	 6	0.370440691616813	1	2	4	251	945	1.5836627140975
IPR036427	Bromodomain-like superfamily	 8	0.527606025119296	1	2	6	251	943	1.18774703557312
IPR036457	PPM-type phosphatase domain superfamily	 5	1	1	0	5	253	944	0
IPR036612	K Homology domain, type 1 superfamily	 8	0.527606025119296	1	2	6	251	943	1.18774703557312
IPR036638	Helix-loop-helix DNA-binding domain superfamily	 7	0.809672690498166	1	1	6	252	943	0.67871259175607
IPR036770	Ankyrin repeat-containing domain superfamily	24	0.777792859033465	1	4	20	249	929	0.791831357048748
IPR036860	SH2 domain superfamily	 7	0.165970623172046	1	3	4	250	945	2.03613777526821
IPR036871	PX domain superfamily	 7	1	1	0	7	253	942	0
IPR036872	CH domain superfamily	 7	0.45222871899472	1	2	5	251	944	1.35742518351214
IPR036961	Kinesin motor domain superfamily	11	0.184210898037212	1	4	7	249	942	1.72763205174272
IPR038765	Papain-like cysteine peptidase superfamily	14	0.828591604225459	1	2	12	251	937	0.67871259175607
IPR042201	Formin, FH2 domain superfamily	 5	0.0658874761054034	0.753588007955551	3	2	250	947	2.85059288537549
